,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
JAM2_JAM3_1,JAM2_JAM3_1,JAM,jam2b,jam3a,,,,,"PMC1237098;  PMID: 11590146","Cell-Cell Contact","jam2b - jam3a"
JAM2_JAM3_2,JAM2_JAM3_2,JAM,jam2b,jam3b,,,,,"PMC1237098;  PMID: 11590146","Cell-Cell Contact","jam2b - jam3b"
JAM2_JAM3_3,JAM2_JAM3_3,JAM,jam2a,jam3a,,,,,"PMC1237098;  PMID: 11590146","Cell-Cell Contact","jam2a - jam3a"
JAM2_JAM3_4,JAM2_JAM3_4,JAM,jam2a,jam3b,,,,,"PMC1237098;  PMID: 11590146","Cell-Cell Contact","jam2a - jam3b"
F11R_F11R_1,F11R_F11R_1,JAM,f11r.2,f11r.2,,,,,"KEGG: mmu04514","Cell-Cell Contact","f11r.2 - f11r.2"
F11R_F11R_2,F11R_F11R_2,JAM,f11r.2,f11r.1,,,,,"KEGG: mmu04514","Cell-Cell Contact","f11r.2 - f11r.1"
F11R_F11R_3,F11R_F11R_3,JAM,f11r.1,f11r.2,,,,,"KEGG: mmu04514","Cell-Cell Contact","f11r.1 - f11r.2"
F11R_F11R_4,F11R_F11R_4,JAM,f11r.1,f11r.1,,,,,"KEGG: mmu04514","Cell-Cell Contact","f11r.1 - f11r.1"
F11R_JAM2_1,F11R_JAM2_1,JAM,f11r.2,jam2b,,,,,"KEGG: mmu04514","Cell-Cell Contact","f11r.2 - jam2b"
F11R_JAM2_2,F11R_JAM2_2,JAM,f11r.2,jam2a,,,,,"KEGG: mmu04514","Cell-Cell Contact","f11r.2 - jam2a"
F11R_JAM2_3,F11R_JAM2_3,JAM,f11r.1,jam2b,,,,,"KEGG: mmu04514","Cell-Cell Contact","f11r.1 - jam2b"
F11R_JAM2_4,F11R_JAM2_4,JAM,f11r.1,jam2a,,,,,"KEGG: mmu04514","Cell-Cell Contact","f11r.1 - jam2a"
F11R_JAM3_1,F11R_JAM3_1,JAM,f11r.2,jam3a,,,,,"KEGG: mmu04514","Cell-Cell Contact","f11r.2 - jam3a"
F11R_JAM3_2,F11R_JAM3_2,JAM,f11r.2,jam3b,,,,,"KEGG: mmu04514","Cell-Cell Contact","f11r.2 - jam3b"
F11R_JAM3_3,F11R_JAM3_3,JAM,f11r.1,jam3a,,,,,"KEGG: mmu04514","Cell-Cell Contact","f11r.1 - jam3a"
F11R_JAM3_4,F11R_JAM3_4,JAM,f11r.1,jam3b,,,,,"KEGG: mmu04514","Cell-Cell Contact","f11r.1 - jam3b"
JAM2_F11R_1,JAM2_F11R_1,JAM,jam2b,f11r.2,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam2b - f11r.2"
JAM2_F11R_2,JAM2_F11R_2,JAM,jam2b,f11r.1,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam2b - f11r.1"
JAM2_F11R_3,JAM2_F11R_3,JAM,jam2a,f11r.2,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam2a - f11r.2"
JAM2_F11R_4,JAM2_F11R_4,JAM,jam2a,f11r.1,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam2a - f11r.1"
JAM2_JAM2_1,JAM2_JAM2_1,JAM,jam2b,jam2b,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam2b - jam2b"
JAM2_JAM2_2,JAM2_JAM2_2,JAM,jam2b,jam2a,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam2b - jam2a"
JAM2_JAM2_3,JAM2_JAM2_3,JAM,jam2a,jam2b,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam2a - jam2b"
JAM2_JAM2_4,JAM2_JAM2_4,JAM,jam2a,jam2a,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam2a - jam2a"
JAM3_F11R_1,JAM3_F11R_1,JAM,jam3a,f11r.2,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam3a - f11r.2"
JAM3_F11R_2,JAM3_F11R_2,JAM,jam3a,f11r.1,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam3a - f11r.1"
JAM3_F11R_3,JAM3_F11R_3,JAM,jam3b,f11r.2,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam3b - f11r.2"
JAM3_F11R_4,JAM3_F11R_4,JAM,jam3b,f11r.1,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam3b - f11r.1"
JAM3_JAM2_1,JAM3_JAM2_1,JAM,jam3a,jam2b,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam3a - jam2b"
JAM3_JAM2_2,JAM3_JAM2_2,JAM,jam3a,jam2a,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam3a - jam2a"
JAM3_JAM2_3,JAM3_JAM2_3,JAM,jam3b,jam2b,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam3b - jam2b"
JAM3_JAM2_4,JAM3_JAM2_4,JAM,jam3b,jam2a,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam3b - jam2a"
JAM3_JAM3_1,JAM3_JAM3_1,JAM,jam3a,jam3a,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam3a - jam3a"
JAM3_JAM3_2,JAM3_JAM3_2,JAM,jam3a,jam3b,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam3a - jam3b"
JAM3_JAM3_3,JAM3_JAM3_3,JAM,jam3b,jam3a,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam3b - jam3a"
JAM3_JAM3_4,JAM3_JAM3_4,JAM,jam3b,jam3b,,,,,"KEGG: mmu04514","Cell-Cell Contact","jam3b - jam3b"
L1CAM_L1CAM,L1CAM_L1CAM,L1CAM,l1cama,l1cama,,,,,"PMID: 18701456","Cell-Cell Contact","l1cama - l1cama"
MAG_MAG,MAG_MAG,MAG,mag,mag,,,,,"KEGG: mmu04514","Cell-Cell Contact","mag - mag"
MPZ_MPZL1,MPZ_MPZL1,MPZ,mpz,mpzl1l,,,,,"KEGG: mmu04514","Cell-Cell Contact","mpz - mpzl1l"
MPZ_MPZ,MPZ_MPZ,MPZ,mpz,mpz,,,,,"KEGG: mmu04514","Cell-Cell Contact","mpz - mpz"
MPZL1_MPZL1,MPZL1_MPZL1,MPZ,mpzl1l,mpzl1l,,,,,"KEGG: mmu04514","Cell-Cell Contact","mpzl1l - mpzl1l"
NCAM1_FGFR1_1,NCAM1_FGFR1_1,NCAM,ncam1a,fgfr1a,,,,,"PMID: 12791257","Cell-Cell Contact","ncam1a - fgfr1a"
NCAM1_FGFR1_2,NCAM1_FGFR1_2,NCAM,ncam1a,fgfr1bl,,,,,"PMID: 12791257","Cell-Cell Contact","ncam1a - fgfr1bl"
NCAM1_FGFR1_3,NCAM1_FGFR1_3,NCAM,ncam1a,fgfr1b,,,,,"PMID: 12791257","Cell-Cell Contact","ncam1a - fgfr1b"
NCAM1_FGFR1_4,NCAM1_FGFR1_4,NCAM,ncam1b,fgfr1a,,,,,"PMID: 12791257","Cell-Cell Contact","ncam1b - fgfr1a"
NCAM1_FGFR1_5,NCAM1_FGFR1_5,NCAM,ncam1b,fgfr1bl,,,,,"PMID: 12791257","Cell-Cell Contact","ncam1b - fgfr1bl"
NCAM1_FGFR1_6,NCAM1_FGFR1_6,NCAM,ncam1b,fgfr1b,,,,,"PMID: 12791257","Cell-Cell Contact","ncam1b - fgfr1b"
NCAM1_NCAM1_1,NCAM1_NCAM1_1,NCAM,ncam1a,ncam1a,,,,,"KEGG: mmu04514","Cell-Cell Contact","ncam1a - ncam1a"
NCAM1_NCAM1_2,NCAM1_NCAM1_2,NCAM,ncam1a,ncam1b,,,,,"KEGG: mmu04514","Cell-Cell Contact","ncam1a - ncam1b"
NCAM1_NCAM1_3,NCAM1_NCAM1_3,NCAM,ncam1b,ncam1a,,,,,"KEGG: mmu04514","Cell-Cell Contact","ncam1b - ncam1a"
NCAM1_NCAM1_4,NCAM1_NCAM1_4,NCAM,ncam1b,ncam1b,,,,,"KEGG: mmu04514","Cell-Cell Contact","ncam1b - ncam1b"
NCAM1_NCAM2_1,NCAM1_NCAM2_1,NCAM,ncam1a,ncam2,,,,,"KEGG: mmu04514","Cell-Cell Contact","ncam1a - ncam2"
NCAM1_NCAM2_2,NCAM1_NCAM2_2,NCAM,ncam1a,zgc:152904,,,,,"KEGG: mmu04514","Cell-Cell Contact","ncam1a - zgc:152904"
NCAM1_NCAM2_3,NCAM1_NCAM2_3,NCAM,ncam1b,ncam2,,,,,"KEGG: mmu04514","Cell-Cell Contact","ncam1b - ncam2"
NCAM1_NCAM2_4,NCAM1_NCAM2_4,NCAM,ncam1b,zgc:152904,,,,,"KEGG: mmu04514","Cell-Cell Contact","ncam1b - zgc:152904"
NCAM1_L1CAM_1,NCAM1_L1CAM_1,NCAM,ncam1a,l1cama,,,,,"KEGG: mmu04514","Cell-Cell Contact","ncam1a - l1cama"
NCAM1_L1CAM_2,NCAM1_L1CAM_2,NCAM,ncam1b,l1cama,,,,,"KEGG: mmu04514","Cell-Cell Contact","ncam1b - l1cama"
NCAM2_L1CAM_3,NCAM2_L1CAM_3,NCAM,ncam2,l1cama,,,,,"KEGG: mmu04514","Cell-Cell Contact","ncam2 - l1cama"
NCAM2_L1CAM_4,NCAM2_L1CAM_4,NCAM,zgc:152904,l1cama,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:152904 - l1cama"
NECTIN1_CADM3_1,NECTIN1_CADM3_1,NECTIN,nectin1b,cadm3,,,,,"PMID: 23027581","Cell-Cell Contact","nectin1b - cadm3"
NECTIN1_CADM3_2,NECTIN1_CADM3_2,NECTIN,nectin1a,cadm3,,,,,"PMID: 23027581","Cell-Cell Contact","nectin1a - cadm3"
NECTIN1_CD96_1,NECTIN1_CD96_1,NECTIN,nectin1b,si:ch1073-15f19.2,,,,,"PMID: 23027581","Cell-Cell Contact","nectin1b - si:ch1073-15f19.2"
NECTIN1_CD96_2,NECTIN1_CD96_2,NECTIN,nectin1a,si:ch1073-15f19.2,,,,,"PMID: 23027581","Cell-Cell Contact","nectin1a - si:ch1073-15f19.2"
NECTIN1_NECTIN4_1,NECTIN1_NECTIN4_1,NECTIN,nectin1b,nectin4a,,,,,"PMID: 23027581","Cell-Cell Contact","nectin1b - nectin4a"
NECTIN1_NECTIN4_2,NECTIN1_NECTIN4_2,NECTIN,nectin1b,nectin4b,,,,,"PMID: 23027581","Cell-Cell Contact","nectin1b - nectin4b"
NECTIN1_NECTIN4_3,NECTIN1_NECTIN4_3,NECTIN,nectin1a,nectin4a,,,,,"PMID: 23027581","Cell-Cell Contact","nectin1a - nectin4a"
NECTIN1_NECTIN4_4,NECTIN1_NECTIN4_4,NECTIN,nectin1a,nectin4b,,,,,"PMID: 23027581","Cell-Cell Contact","nectin1a - nectin4b"
NECTIN3_NECTIN1_1,NECTIN3_NECTIN1_1,NECTIN,nectin3b,nectin1b,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - nectin1b"
NECTIN3_NECTIN1_2,NECTIN3_NECTIN1_2,NECTIN,nectin3b,nectin1a,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - nectin1a"
NECTIN3_NECTIN2_1,NECTIN3_NECTIN2_1,NECTIN,nectin3b,pvrl2l,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - pvrl2l"
NECTIN3_NECTIN2_2,NECTIN3_NECTIN2_2,NECTIN,nectin3b,zgc:113337,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - zgc:113337"
NECTIN3_NECTIN2_3,NECTIN3_NECTIN2_3,NECTIN,nectin3b,si:ch73-22o12.1,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - si:ch73-22o12.1"
NECTIN3_NECTIN2_4,NECTIN3_NECTIN2_4,NECTIN,nectin3b,zgc:172122,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - zgc:172122"
NECTIN3_NECTIN2_5,NECTIN3_NECTIN2_5,NECTIN,nectin3b,sc:d189,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - sc:d189"
NECTIN3_PVR_1,NECTIN3_PVR_1,NECTIN,nectin3b,pvrl2l,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - pvrl2l"
NECTIN3_PVR_2,NECTIN3_PVR_2,NECTIN,nectin3b,si:ch211-222f23.6,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - si:ch211-222f23.6"
NECTIN3_PVR_3,NECTIN3_PVR_3,NECTIN,nectin3b,si:ch211-214p13.3,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - si:ch211-214p13.3"
NECTIN3_PVR_4,NECTIN3_PVR_4,NECTIN,nectin3b,zgc:113337,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - zgc:113337"
NECTIN3_PVR_5,NECTIN3_PVR_5,NECTIN,nectin3b,si:ch211-141e20.2,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - si:ch211-141e20.2"
NECTIN3_PVR_6,NECTIN3_PVR_6,NECTIN,nectin3b,si:ch73-22o12.1,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - si:ch73-22o12.1"
NECTIN3_PVR_7,NECTIN3_PVR_7,NECTIN,nectin3b,zgc:172122,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - zgc:172122"
NECTIN3_PVR_8,NECTIN3_PVR_8,NECTIN,nectin3b,sc:d189,,,,,"PMID: 23027581","Cell-Cell Contact","nectin3b - sc:d189"
NECTIN3_TIGIT_1,NECTIN3_TIGIT_1,NECTIN,nectin3b,pvrl2l,,,,,"KEGG: mmu04514; PMID: 1313846","Cell-Cell Contact","nectin3b - pvrl2l"
NECTIN3_TIGIT_2,NECTIN3_TIGIT_2,NECTIN,nectin3b,si:ch211-222f23.6,,,,,"KEGG: mmu04514; PMID: 1313846","Cell-Cell Contact","nectin3b - si:ch211-222f23.6"
NECTIN3_TIGIT_3,NECTIN3_TIGIT_3,NECTIN,nectin3b,si:ch211-214p13.3,,,,,"KEGG: mmu04514; PMID: 1313846","Cell-Cell Contact","nectin3b - si:ch211-214p13.3"
NECTIN3_TIGIT_4,NECTIN3_TIGIT_4,NECTIN,nectin3b,zgc:113337,,,,,"KEGG: mmu04514; PMID: 1313846","Cell-Cell Contact","nectin3b - zgc:113337"
NECTIN3_TIGIT_5,NECTIN3_TIGIT_5,NECTIN,nectin3b,si:ch211-141e20.2,,,,,"KEGG: mmu04514; PMID: 1313846","Cell-Cell Contact","nectin3b - si:ch211-141e20.2"
NECTIN3_TIGIT_6,NECTIN3_TIGIT_6,NECTIN,nectin3b,si:ch73-22o12.1,,,,,"KEGG: mmu04514; PMID: 1313846","Cell-Cell Contact","nectin3b - si:ch73-22o12.1"
NECTIN3_TIGIT_7,NECTIN3_TIGIT_7,NECTIN,nectin3b,zgc:172122,,,,,"KEGG: mmu04514; PMID: 1313846","Cell-Cell Contact","nectin3b - zgc:172122"
NECTIN3_TIGIT_8,NECTIN3_TIGIT_8,NECTIN,nectin3b,sc:d189,,,,,"KEGG: mmu04514; PMID: 1313846","Cell-Cell Contact","nectin3b - sc:d189"
NECTIN2_CD226_1,NECTIN2_CD226_1,NECTIN,pvrl2l,cd226,,,,,"KEGG: mmu04514","Cell-Cell Contact","pvrl2l - cd226"
NECTIN2_CD226_2,NECTIN2_CD226_2,NECTIN,zgc:113337,cd226,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:113337 - cd226"
NECTIN2_CD226_3,NECTIN2_CD226_3,NECTIN,si:ch73-22o12.1,cd226,,,,,"KEGG: mmu04514","Cell-Cell Contact","si:ch73-22o12.1 - cd226"
NECTIN2_CD226_4,NECTIN2_CD226_4,NECTIN,zgc:172122,cd226,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:172122 - cd226"
NECTIN2_CD226_5,NECTIN2_CD226_5,NECTIN,sc:d189,cd226,,,,,"KEGG: mmu04514","Cell-Cell Contact","sc:d189 - cd226"
NECTIN2_TIGIT_1,NECTIN2_TIGIT_1,NECTIN,pvrl2l,pvrl2l,,,,,"KEGG: mmu04514","Cell-Cell Contact","pvrl2l - pvrl2l"
NECTIN2_TIGIT_2,NECTIN2_TIGIT_2,NECTIN,pvrl2l,si:ch211-222f23.6,,,,,"KEGG: mmu04514","Cell-Cell Contact","pvrl2l - si:ch211-222f23.6"
NECTIN2_TIGIT_3,NECTIN2_TIGIT_3,NECTIN,pvrl2l,si:ch211-214p13.3,,,,,"KEGG: mmu04514","Cell-Cell Contact","pvrl2l - si:ch211-214p13.3"
NECTIN2_TIGIT_4,NECTIN2_TIGIT_4,NECTIN,pvrl2l,zgc:113337,,,,,"KEGG: mmu04514","Cell-Cell Contact","pvrl2l - zgc:113337"
NECTIN2_TIGIT_5,NECTIN2_TIGIT_5,NECTIN,pvrl2l,si:ch211-141e20.2,,,,,"KEGG: mmu04514","Cell-Cell Contact","pvrl2l - si:ch211-141e20.2"
NECTIN2_TIGIT_6,NECTIN2_TIGIT_6,NECTIN,pvrl2l,si:ch73-22o12.1,,,,,"KEGG: mmu04514","Cell-Cell Contact","pvrl2l - si:ch73-22o12.1"
NECTIN2_TIGIT_7,NECTIN2_TIGIT_7,NECTIN,pvrl2l,zgc:172122,,,,,"KEGG: mmu04514","Cell-Cell Contact","pvrl2l - zgc:172122"
NECTIN2_TIGIT_8,NECTIN2_TIGIT_8,NECTIN,pvrl2l,sc:d189,,,,,"KEGG: mmu04514","Cell-Cell Contact","pvrl2l - sc:d189"
NECTIN2_TIGIT_9,NECTIN2_TIGIT_9,NECTIN,zgc:113337,pvrl2l,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:113337 - pvrl2l"
NECTIN2_TIGIT_10,NECTIN2_TIGIT_10,NECTIN,zgc:113337,si:ch211-222f23.6,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:113337 - si:ch211-222f23.6"
NECTIN2_TIGIT_11,NECTIN2_TIGIT_11,NECTIN,zgc:113337,si:ch211-214p13.3,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:113337 - si:ch211-214p13.3"
NECTIN2_TIGIT_12,NECTIN2_TIGIT_12,NECTIN,zgc:113337,zgc:113337,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:113337 - zgc:113337"
NECTIN2_TIGIT_13,NECTIN2_TIGIT_13,NECTIN,zgc:113337,si:ch211-141e20.2,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:113337 - si:ch211-141e20.2"
NECTIN2_TIGIT_14,NECTIN2_TIGIT_14,NECTIN,zgc:113337,si:ch73-22o12.1,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:113337 - si:ch73-22o12.1"
NECTIN2_TIGIT_15,NECTIN2_TIGIT_15,NECTIN,zgc:113337,zgc:172122,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:113337 - zgc:172122"
NECTIN2_TIGIT_16,NECTIN2_TIGIT_16,NECTIN,zgc:113337,sc:d189,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:113337 - sc:d189"
NECTIN2_TIGIT_17,NECTIN2_TIGIT_17,NECTIN,si:ch73-22o12.1,pvrl2l,,,,,"KEGG: mmu04514","Cell-Cell Contact","si:ch73-22o12.1 - pvrl2l"
NECTIN2_TIGIT_18,NECTIN2_TIGIT_18,NECTIN,si:ch73-22o12.1,si:ch211-222f23.6,,,,,"KEGG: mmu04514","Cell-Cell Contact","si:ch73-22o12.1 - si:ch211-222f23.6"
NECTIN2_TIGIT_19,NECTIN2_TIGIT_19,NECTIN,si:ch73-22o12.1,si:ch211-214p13.3,,,,,"KEGG: mmu04514","Cell-Cell Contact","si:ch73-22o12.1 - si:ch211-214p13.3"
NECTIN2_TIGIT_20,NECTIN2_TIGIT_20,NECTIN,si:ch73-22o12.1,zgc:113337,,,,,"KEGG: mmu04514","Cell-Cell Contact","si:ch73-22o12.1 - zgc:113337"
NECTIN2_TIGIT_21,NECTIN2_TIGIT_21,NECTIN,si:ch73-22o12.1,si:ch211-141e20.2,,,,,"KEGG: mmu04514","Cell-Cell Contact","si:ch73-22o12.1 - si:ch211-141e20.2"
NECTIN2_TIGIT_22,NECTIN2_TIGIT_22,NECTIN,si:ch73-22o12.1,si:ch73-22o12.1,,,,,"KEGG: mmu04514","Cell-Cell Contact","si:ch73-22o12.1 - si:ch73-22o12.1"
NECTIN2_TIGIT_23,NECTIN2_TIGIT_23,NECTIN,si:ch73-22o12.1,zgc:172122,,,,,"KEGG: mmu04514","Cell-Cell Contact","si:ch73-22o12.1 - zgc:172122"
NECTIN2_TIGIT_24,NECTIN2_TIGIT_24,NECTIN,si:ch73-22o12.1,sc:d189,,,,,"KEGG: mmu04514","Cell-Cell Contact","si:ch73-22o12.1 - sc:d189"
NECTIN2_TIGIT_25,NECTIN2_TIGIT_25,NECTIN,zgc:172122,pvrl2l,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:172122 - pvrl2l"
NECTIN2_TIGIT_26,NECTIN2_TIGIT_26,NECTIN,zgc:172122,si:ch211-222f23.6,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:172122 - si:ch211-222f23.6"
NECTIN2_TIGIT_27,NECTIN2_TIGIT_27,NECTIN,zgc:172122,si:ch211-214p13.3,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:172122 - si:ch211-214p13.3"
NECTIN2_TIGIT_28,NECTIN2_TIGIT_28,NECTIN,zgc:172122,zgc:113337,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:172122 - zgc:113337"
NECTIN2_TIGIT_29,NECTIN2_TIGIT_29,NECTIN,zgc:172122,si:ch211-141e20.2,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:172122 - si:ch211-141e20.2"
NECTIN2_TIGIT_30,NECTIN2_TIGIT_30,NECTIN,zgc:172122,si:ch73-22o12.1,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:172122 - si:ch73-22o12.1"
NECTIN2_TIGIT_31,NECTIN2_TIGIT_31,NECTIN,zgc:172122,zgc:172122,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:172122 - zgc:172122"
NECTIN2_TIGIT_32,NECTIN2_TIGIT_32,NECTIN,zgc:172122,sc:d189,,,,,"KEGG: mmu04514","Cell-Cell Contact","zgc:172122 - sc:d189"
NECTIN2_TIGIT_33,NECTIN2_TIGIT_33,NECTIN,sc:d189,pvrl2l,,,,,"KEGG: mmu04514","Cell-Cell Contact","sc:d189 - pvrl2l"
NECTIN2_TIGIT_34,NECTIN2_TIGIT_34,NECTIN,sc:d189,si:ch211-222f23.6,,,,,"KEGG: mmu04514","Cell-Cell Contact","sc:d189 - si:ch211-222f23.6"
NECTIN2_TIGIT_35,NECTIN2_TIGIT_35,NECTIN,sc:d189,si:ch211-214p13.3,,,,,"KEGG: mmu04514","Cell-Cell Contact","sc:d189 - si:ch211-214p13.3"
NECTIN2_TIGIT_36,NECTIN2_TIGIT_36,NECTIN,sc:d189,zgc:113337,,,,,"KEGG: mmu04514","Cell-Cell Contact","sc:d189 - zgc:113337"
NECTIN2_TIGIT_37,NECTIN2_TIGIT_37,NECTIN,sc:d189,si:ch211-141e20.2,,,,,"KEGG: mmu04514","Cell-Cell Contact","sc:d189 - si:ch211-141e20.2"
NECTIN2_TIGIT_38,NECTIN2_TIGIT_38,NECTIN,sc:d189,si:ch73-22o12.1,,,,,"KEGG: mmu04514","Cell-Cell Contact","sc:d189 - si:ch73-22o12.1"
NECTIN2_TIGIT_39,NECTIN2_TIGIT_39,NECTIN,sc:d189,zgc:172122,,,,,"KEGG: mmu04514","Cell-Cell Contact","sc:d189 - zgc:172122"
NECTIN2_TIGIT_40,NECTIN2_TIGIT_40,NECTIN,sc:d189,sc:d189,,,,,"KEGG: mmu04514","Cell-Cell Contact","sc:d189 - sc:d189"
NECTIN1_NECTIN3_1,NECTIN1_NECTIN3_1,NECTIN,nectin1b,nectin3b,,,,,"KEGG: mmu04514","Cell-Cell Contact","nectin1b - nectin3b"
NECTIN1_NECTIN3_2,NECTIN1_NECTIN3_2,NECTIN,nectin1a,nectin3b,,,,,"KEGG: mmu04514","Cell-Cell Contact","nectin1a - nectin3b"
NEGR1_NEGR1,NEGR1_NEGR1,NEGR,negr1,negr1,,,,,"KEGG: mmu04514","Cell-Cell Contact","negr1 - negr1"
LRRC4C_NTNG1_1,LRRC4C_NTNG1_1,NGL,lrrc4cb,vav3b,,,,,"KEGG: mmu04514","Cell-Cell Contact","lrrc4cb - vav3b"
LRRC4C_NTNG1_2,LRRC4C_NTNG1_2,NGL,lrrc4cb,ntng1a,,,,,"KEGG: mmu04514","Cell-Cell Contact","lrrc4cb - ntng1a"
LRRC4C_NTNG1_3,LRRC4C_NTNG1_3,NGL,lrrc4ca,vav3b,,,,,"KEGG: mmu04514","Cell-Cell Contact","lrrc4ca - vav3b"
LRRC4C_NTNG1_4,LRRC4C_NTNG1_4,NGL,lrrc4ca,ntng1a,,,,,"KEGG: mmu04514","Cell-Cell Contact","lrrc4ca - ntng1a"
LRRC4_NTNG2_1,LRRC4_NTNG2_1,NGL,lrrc4.2,ntng2a,,,,,"KEGG: mmu04514","Cell-Cell Contact","lrrc4.2 - ntng2a"
LRRC4_NTNG2_2,LRRC4_NTNG2_2,NGL,lrrc4.2,ntng2b,,,,,"KEGG: mmu04514","Cell-Cell Contact","lrrc4.2 - ntng2b"
LRRC4_NTNG2_3,LRRC4_NTNG2_3,NGL,lrrc4.1,ntng2a,,,,,"KEGG: mmu04514","Cell-Cell Contact","lrrc4.1 - ntng2a"
LRRC4_NTNG2_4,LRRC4_NTNG2_4,NGL,lrrc4.1,ntng2b,,,,,"KEGG: mmu04514","Cell-Cell Contact","lrrc4.1 - ntng2b"
LRRC4B_PTPRF_1,LRRC4B_PTPRF_1,NGL,lrrc4bb,ptprfb,,,,,"KEGG: mmu04514","Cell-Cell Contact","lrrc4bb - ptprfb"
LRRC4B_PTPRF_2,LRRC4B_PTPRF_2,NGL,lrrc4bb,ptprfa,,,,,"KEGG: mmu04514","Cell-Cell Contact","lrrc4bb - ptprfa"
LRRC4B_PTPRF_3,LRRC4B_PTPRF_3,NGL,lrrc4ba,ptprfb,,,,,"KEGG: mmu04514","Cell-Cell Contact","lrrc4ba - ptprfb"
LRRC4B_PTPRF_4,LRRC4B_PTPRF_4,NGL,lrrc4ba,ptprfa,,,,,"KEGG: mmu04514","Cell-Cell Contact","lrrc4ba - ptprfa"
DLL1_NOTCH1_1,DLL1_NOTCH1_1,NOTCH,dla,notch1b,,,,,"PMID: 22353464","Cell-Cell Contact","dla - notch1b"
DLL1_NOTCH1_2,DLL1_NOTCH1_2,NOTCH,dla,notch1a,,,,,"PMID: 22353464","Cell-Cell Contact","dla - notch1a"
DLL1_NOTCH1_3,DLL1_NOTCH1_3,NOTCH,dld,notch1b,,,,,"PMID: 22353464","Cell-Cell Contact","dld - notch1b"
DLL1_NOTCH1_4,DLL1_NOTCH1_4,NOTCH,dld,notch1a,,,,,"PMID: 22353464","Cell-Cell Contact","dld - notch1a"
DLL1_NOTCH3_1,DLL1_NOTCH3_1,NOTCH,dla,notch3,,,,,"PMID: 22353464","Cell-Cell Contact","dla - notch3"
DLL1_NOTCH3_2,DLL1_NOTCH3_2,NOTCH,dld,notch3,,,,,"PMID: 22353464","Cell-Cell Contact","dld - notch3"
JAG2_NOTCH1_1,JAG2_NOTCH1_1,NOTCH,jag2b,notch1b,,,,,"PMID: 22353464","Cell-Cell Contact","jag2b - notch1b"
JAG2_NOTCH1_2,JAG2_NOTCH1_2,NOTCH,jag2b,notch1a,,,,,"PMID: 22353464","Cell-Cell Contact","jag2b - notch1a"
