,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
WNT11_FZD4,WNT11_FZD4,ncWNT,wnt11,fzd4,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt11 - fzd4"
WNT11_FZD5,WNT11_FZD5,ncWNT,wnt11,fzd5,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt11 - fzd5"
WNT11_FZD6,WNT11_FZD6,ncWNT,wnt11,fzd6,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt11 - fzd6"
WNT11_FZD7_1,WNT11_FZD7_1,ncWNT,wnt11,fzd7b,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt11 - fzd7b"
WNT11_FZD7_2,WNT11_FZD7_2,ncWNT,wnt11,fzd7a,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt11 - fzd7a"
WNT11_FZD8_1,WNT11_FZD8_1,ncWNT,wnt11,fzd8a,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt11 - fzd8a"
WNT11_FZD8_2,WNT11_FZD8_2,ncWNT,wnt11,fzd8b,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt11 - fzd8b"
WNT11_FZD9_1,WNT11_FZD9_1,ncWNT,wnt11,fzd9b,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt11 - fzd9b"
WNT11_FZD9_2,WNT11_FZD9_2,ncWNT,wnt11,fzd9a,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt11 - fzd9a"
EGF_EGFR,EGF_EGFR,EGF,egf,egfra,,,,,"KEGG: mmu04012","Secreted Signaling","egf - egfra"
TGFA_EGFR,TGFA_EGFR,EGF,tgfa,egfra,,,,,"KEGG: mmu04012","Secreted Signaling","tgfa - egfra"
BTC_EGFR,BTC_EGFR,EGF,btc,egfra,,,,,"KEGG: mmu04012","Secreted Signaling","btc - egfra"
BTC_ERBB4_1,BTC_ERBB4_1,EGF,btc,erbb4a,,,,,"KEGG: mmu04012","Secreted Signaling","btc - erbb4a"
BTC_ERBB4_2,BTC_ERBB4_2,EGF,btc,si:ch73-383l1.1,,,,,"KEGG: mmu04012","Secreted Signaling","btc - si:ch73-383l1.1"
BTC_ERBB4_3,BTC_ERBB4_3,EGF,btc,erbb4b,,,,,"KEGG: mmu04012","Secreted Signaling","btc - erbb4b"
HBEGF_EGFR_1,HBEGF_EGFR_1,EGF,hbegfb,egfra,,,,,"KEGG: mmu04012","Secreted Signaling","hbegfb - egfra"
HBEGF_EGFR_2,HBEGF_EGFR_2,EGF,hbegfa,egfra,,,,,"KEGG: mmu04012","Secreted Signaling","hbegfa - egfra"
HBEGF_ERBB4_1,HBEGF_ERBB4_1,EGF,hbegfb,erbb4a,,,,,"KEGG: mmu04012","Secreted Signaling","hbegfb - erbb4a"
HBEGF_ERBB4_2,HBEGF_ERBB4_2,EGF,hbegfb,si:ch73-383l1.1,,,,,"KEGG: mmu04012","Secreted Signaling","hbegfb - si:ch73-383l1.1"
HBEGF_ERBB4_3,HBEGF_ERBB4_3,EGF,hbegfb,erbb4b,,,,,"KEGG: mmu04012","Secreted Signaling","hbegfb - erbb4b"
HBEGF_ERBB4_4,HBEGF_ERBB4_4,EGF,hbegfa,erbb4a,,,,,"KEGG: mmu04012","Secreted Signaling","hbegfa - erbb4a"
HBEGF_ERBB4_5,HBEGF_ERBB4_5,EGF,hbegfa,si:ch73-383l1.1,,,,,"KEGG: mmu04012","Secreted Signaling","hbegfa - si:ch73-383l1.1"
HBEGF_ERBB4_6,HBEGF_ERBB4_6,EGF,hbegfa,erbb4b,,,,,"KEGG: mmu04012","Secreted Signaling","hbegfa - erbb4b"
NRG1_ERBB3_1,NRG1_ERBB3_1,NRG,nrg1,erbb3a,,,,,"KEGG: mmu04012","Secreted Signaling","nrg1 - erbb3a"
NRG1_ERBB3_2,NRG1_ERBB3_2,NRG,nrg1,erbb3b,,,,,"KEGG: mmu04012","Secreted Signaling","nrg1 - erbb3b"
NRG1_ERBB4_1,NRG1_ERBB4_1,NRG,nrg1,erbb4a,,,,,"KEGG: mmu04012","Secreted Signaling","nrg1 - erbb4a"
NRG1_ERBB4_2,NRG1_ERBB4_2,NRG,nrg1,si:ch73-383l1.1,,,,,"KEGG: mmu04012","Secreted Signaling","nrg1 - si:ch73-383l1.1"
NRG1_ERBB4_3,NRG1_ERBB4_3,NRG,nrg1,erbb4b,,,,,"KEGG: mmu04012","Secreted Signaling","nrg1 - erbb4b"
NRG2_ERBB3_1,NRG2_ERBB3_1,NRG,nrg2a,erbb3a,,,,,"KEGG: mmu04012","Secreted Signaling","nrg2a - erbb3a"
NRG2_ERBB3_2,NRG2_ERBB3_2,NRG,nrg2a,erbb3b,,,,,"KEGG: mmu04012","Secreted Signaling","nrg2a - erbb3b"
